Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
CONDUCTIO,CD8dim Natural Killer T %lymphocyte,GCST90001635,26,23.65,0.211,0.860,1.000,1.000,0.913,1.095,0.9462,1.0137,0.9132,1.0504,yes,yes,yes,yes,""
AVBLOCK,CD4-CD8- Natural Killer T Absolute Count,GCST90001636,10,7.12,0.066,0.030,0.512,0.963,0.803,1.245,0.9367,1.1132,0.8569,1.2169,yes,no,no,no,""
CONDUCTIO,CD4-CD8- Natural Killer T Absolute Count,GCST90001636,10,7.12,0.066,0.115,0.909,1.000,0.848,1.180,0.9555,1.1089,0.8849,1.1974,yes,yes,no,no,""
AVBLOCK,CD4-CD8- Natural Killer T %T cell,GCST90001637,30,27.12,0.244,0.544,1.000,1.000,0.894,1.119,0.9542,1.0523,0.9072,1.1068,yes,yes,yes,no,""
CONDUCTIO,CD4-CD8- Natural Killer T %T cell,GCST90001637,30,27.12,0.244,0.925,1.000,1.000,0.919,1.088,0.9627,1.0359,0.9270,1.0758,yes,yes,yes,yes,""
AVBLOCK,CD4-CD8- Natural Killer T %lymphocyte,GCST90001638,29,25.73,0.234,0.502,1.000,1.000,0.891,1.122,0.9501,1.0505,0.9022,1.1063,yes,yes,yes,no,""
CONDUCTIO,CD4-CD8- Natural Killer T %lymphocyte,GCST90001638,29,25.73,0.234,0.903,1.000,1.000,0.917,1.091,0.9600,1.0349,0.9236,1.0758,yes,yes,yes,yes,""
AVBLOCK,CD3- lymphocyte Absolute Count,GCST90001639,18,12.60,0.113,0.117,0.912,1.000,0.848,1.179,0.9444,1.0725,0.8844,1.1452,yes,yes,yes,no,""
CONDUCTIO,CD3- lymphocyte Absolute Count,GCST90001639,18,12.60,0.113,0.388,0.999,1.000,0.883,1.132,0.9162,1.0075,0.8723,1.0581,yes,yes,yes,no,""
AVBLOCK,CD3- lymphocyte %lymphocyte,GCST90001640,6,4.23,0.035,0.009,0.187,0.680,0.752,1.329,0.7884,1.0764,0.6715,1.2639,no,no,no,no,""
CONDUCTIO,CD3- lymphocyte %lymphocyte,GCST90001640,6,4.23,0.035,0.033,0.546,0.972,0.807,1.239,0.8230,1.0434,0.7282,1.1792,no,no,no,no,""
AVBLOCK,CD3- lymphocyte %leukocyte,GCST90001641,20,13.58,0.120,0.139,0.940,1.000,0.853,1.172,0.9867,1.0811,0.9412,1.1333,yes,yes,yes,no,""
CONDUCTIO,CD3- lymphocyte %leukocyte,GCST90001641,20,13.58,0.120,0.443,1.000,1.000,0.887,1.127,0.9751,1.0442,0.9413,1.0817,yes,yes,yes,yes,""
AVBLOCK,B cell Absolute Count,GCST90001642,30,20.08,0.187,0.322,0.997,1.000,0.878,1.139,0.9498,1.0485,0.9026,1.1033,yes,yes,yes,no,""
CONDUCTIO,B cell Absolute Count,GCST90001642,30,20.08,0.187,0.753,1.000,1.000,0.906,1.104,0.9560,1.0278,0.9210,1.0669,yes,yes,yes,yes,""
AVBLOCK,B cell %CD3- lymphocyte,GCST90001643,29,20.15,0.193,0.325,0.997,1.000,0.878,1.139,0.9759,1.0260,0.9511,1.0528,yes,yes,yes,yes,""
CONDUCTIO,B cell %CD3- lymphocyte,GCST90001643,29,20.15,0.193,0.756,1.000,1.000,0.906,1.103,0.9732,1.0177,0.9510,1.0414,yes,yes,yes,yes,""
AVBLOCK,B cell %lymphocyte,GCST90001644,35,25.67,0.234,0.500,1.000,1.000,0.891,1.122,0.9707,1.0505,0.9319,1.0942,yes,yes,yes,yes,""
CONDUCTIO,B cell %lymphocyte,GCST90001644,35,25.67,0.234,0.902,1.000,1.000,0.917,1.091,0.9714,1.0306,0.9422,1.0625,yes,yes,yes,yes,""
AVBLOCK,Natural Killer Absolute Count,GCST90001645,22,16.24,0.152,0.208,0.981,1.000,0.865,1.156,0.9569,1.0793,0.8994,1.1484,yes,yes,yes,no,""
CONDUCTIO,Natural Killer Absolute Count,GCST90001645,22,16.24,0.152,0.585,1.000,1.000,0.896,1.116,0.9774,1.0721,0.9318,1.1245,yes,yes,yes,no,""
AVBLOCK,Natural Killer %CD3- lymphocyte,GCST90001646,27,19.86,0.190,0.316,0.997,1.000,0.877,1.140,0.9766,1.0270,0.9516,1.0539,yes,yes,yes,yes,""
CONDUCTIO,Natural Killer %CD3- lymphocyte,GCST90001646,27,19.86,0.190,0.745,1.000,1.000,0.906,1.104,0.9832,1.0277,0.9610,1.0515,yes,yes,yes,yes,""
AVBLOCK,Natural Killer %lymphocyte,GCST90001647,27,19.61,0.196,0.308,0.996,1.000,0.876,1.141,0.9796,1.0628,0.9392,1.1085,yes,yes,yes,no,""
CONDUCTIO,Natural Killer %lymphocyte,GCST90001647,27,19.61,0.196,0.736,1.000,1.000,0.905,1.105,0.9879,1.0480,0.9583,1.0804,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ Natural Killer Absolute Count,GCST90001648,18,31.05,0.304,0.654,1.000,1.000,0.900,1.111,0.9364,1.0445,0.8850,1.1051,yes,yes,yes,no,""
CONDUCTIO,HLA DR+ Natural Killer Absolute Count,GCST90001648,18,31.05,0.304,0.966,1.000,1.000,0.924,1.082,0.9472,1.0415,0.9019,1.0937,yes,yes,yes,no,""
AVBLOCK,HLA DR+ Natural Killer %Natural Killer,GCST90001649,23,34.95,0.325,0.747,1.000,1.000,0.906,1.104,0.8960,0.9769,0.8569,1.0214,yes,yes,no,no,""
CONDUCTIO,HLA DR+ Natural Killer %Natural Killer,GCST90001649,23,34.95,0.325,0.985,1.000,1.000,0.928,1.078,0.9136,0.9747,0.8837,1.0078,yes,yes,yes,no,""
AVBLOCK,HLA DR+ Natural Killer  %CD3- lymphocyte,GCST90001650,23,35.09,0.343,0.750,1.000,1.000,0.906,1.104,0.9332,1.0169,0.8927,1.0629,yes,yes,yes,no,""
CONDUCTIO,HLA DR+ Natural Killer  %CD3- lymphocyte,GCST90001650,23,35.09,0.343,0.986,1.000,1.000,0.928,1.077,0.9410,1.0121,0.9063,1.0509,yes,yes,yes,no,""
AVBLOCK,Granulocyte Absolute Count,GCST90001651,24,16.23,0.142,0.207,0.981,1.000,0.865,1.156,0.9230,1.0277,0.8732,1.0863,yes,yes,yes,no,""
CONDUCTIO,Granulocyte Absolute Count,GCST90001651,24,16.23,0.142,0.585,1.000,1.000,0.896,1.116,0.9402,1.0338,0.8954,1.0856,yes,yes,yes,no,""
AVBLOCK,Granulocyte %leukocyte,GCST90001652,25,16.60,0.147,0.218,0.984,1.000,0.866,1.154,0.9237,1.0217,0.8770,1.0761,yes,yes,yes,no,""
CONDUCTIO,Granulocyte %leukocyte,GCST90001652,25,16.60,0.147,0.603,1.000,1.000,0.897,1.114,0.9513,1.0194,0.9180,1.0564,yes,yes,yes,yes,""
AVBLOCK,CD28- CD4-CD8- T cell %CD4-CD8- T cell,GCST90001653,27,19.63,0.177,0.308,0.996,1.000,0.876,1.141,0.9897,1.0809,0.9457,1.1312,yes,yes,yes,no,""
CONDUCTIO,CD28- CD4-CD8- T cell %CD4-CD8- T cell,GCST90001653,27,19.63,0.177,0.736,1.000,1.000,0.905,1.105,0.9742,1.0469,0.9388,1.0864,yes,yes,yes,yes,""
AVBLOCK,CD28- CD4-CD8- T cell Absolute Count,GCST90001654,31,23.41,0.210,0.429,1.000,1.000,0.886,1.129,0.9905,1.0812,0.9467,1.1311,yes,yes,yes,no,""
CONDUCTIO,CD28- CD4-CD8- T cell Absolute Count,GCST90001654,31,23.41,0.210,0.855,1.000,1.000,0.913,1.096,0.9837,1.0504,0.9509,1.0866,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD4-CD8- T cell %T cell,GCST90001655,23,13.44,0.148,0.136,0.937,1.000,0.853,1.173,1.0111,1.1229,0.9579,1.1853,yes,yes,no,no,""
CONDUCTIO,CD28+ CD4-CD8- T cell %T cell,GCST90001655,23,13.44,0.148,0.435,1.000,1.000,0.887,1.128,0.9885,1.0784,0.9451,1.1279,yes,yes,yes,no,""
AVBLOCK,CD28+ CD4-CD8- T cell %CD4-CD8- T cell,GCST90001656,27,19.63,0.177,0.308,0.996,1.000,0.876,1.141,0.9252,1.0104,0.8840,1.0575,yes,yes,yes,no,""
CONDUCTIO,CD28+ CD4-CD8- T cell %CD4-CD8- T cell,GCST90001656,27,19.63,0.177,0.736,1.000,1.000,0.905,1.105,0.9552,1.0264,0.9204,1.0652,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD4-CD8- T cell Absolute Count,GCST90001657,12,6.37,0.080,0.023,0.425,0.930,0.793,1.261,0.9298,1.1415,0.8364,1.2689,yes,no,no,no,""
CONDUCTIO,CD28+ CD4-CD8- T cell Absolute Count,GCST90001657,12,6.37,0.080,0.088,0.852,0.999,0.840,1.191,0.9411,1.0711,0.8803,1.1451,yes,yes,yes,no,""
AVBLOCK,CD39+ CD4+ T cell %T cell,GCST90001658,31,36.16,0.358,0.771,1.000,1.000,0.907,1.102,0.9622,1.0090,0.9389,1.0341,yes,yes,yes,yes,""
CONDUCTIO,CD39+ CD4+ T cell %T cell,GCST90001658,31,36.16,0.358,0.989,1.000,1.000,0.929,1.076,0.9725,1.0075,0.9550,1.0260,yes,yes,yes,yes,""
AVBLOCK,CD39+ CD4+ T cell %CD4+ T cell,GCST90001659,25,32.92,0.328,0.701,1.000,1.000,0.903,1.107,0.9685,1.0258,0.9402,1.0567,yes,yes,yes,yes,""
CONDUCTIO,CD39+ CD4+ T cell %CD4+ T cell,GCST90001659,25,32.92,0.328,0.977,1.000,1.000,0.926,1.080,0.9710,1.0182,0.9475,1.0435,yes,yes,yes,yes,""
AVBLOCK,CD39+ CD4+ T cell Absolute Count,GCST90001660,29,38.04,0.341,0.806,1.000,1.000,0.910,1.100,0.9617,1.0149,0.9353,1.0435,yes,yes,yes,yes,""
CONDUCTIO,CD39+ CD4+ T cell Absolute Count,GCST90001660,29,38.04,0.341,0.993,1.000,1.000,0.931,1.074,0.9773,1.0177,0.9572,1.0391,yes,yes,yes,yes,""
AVBLOCK,CD28- CD8dim T cell %T cell,GCST90001661,25,19.21,0.170,0.295,0.995,1.000,0.875,1.143,0.9751,1.0554,0.9361,1.0994,yes,yes,yes,yes,""
CONDUCTIO,CD28- CD8dim T cell %T cell,GCST90001661,25,19.21,0.170,0.720,1.000,1.000,0.904,1.106,0.9760,1.0356,0.9466,1.0677,yes,yes,yes,yes,""
AVBLOCK,CD28- CD8dim T cell %CD8dim T cell,GCST90001662,15,10.60,0.102,0.077,0.819,0.999,0.836,1.197,0.9609,0.9976,0.9424,1.0171,yes,yes,yes,yes,""
CONDUCTIO,CD28- CD8dim T cell %CD8dim T cell,GCST90001662,15,10.60,0.102,0.277,0.994,1.000,0.873,1.145,0.9702,0.9978,0.9562,1.0123,yes,yes,yes,yes,""
AVBLOCK,CD28- CD8dim T cell Absolute Count,GCST90001663,28,21.20,0.188,0.358,0.998,1.000,0.881,1.135,0.9484,1.0143,0.9161,1.0501,yes,yes,yes,yes,""
CONDUCTIO,CD28- CD8dim T cell Absolute Count,GCST90001663,28,21.20,0.188,0.792,1.000,1.000,0.909,1.101,0.9560,1.0075,0.9304,1.0352,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA+ CD8dim T cell %T cell,GCST90001664,41,30.25,0.328,0.633,1.000,1.000,0.899,1.112,0.9951,1.0051,0.9900,1.0103,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA+ CD8dim T cell %T cell,GCST90001664,41,30.25,0.328,0.960,1.000,1.000,0.923,1.084,0.9934,1.0025,0.9888,1.0072,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA+ CD8dim T cell %CD8dim T cell,GCST90001665,27,25.42,0.218,0.492,1.000,1.000,0.890,1.123,0.9937,1.0364,0.9724,1.0592,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA+ CD8dim T cell %CD8dim T cell,GCST90001665,27,25.42,0.218,0.898,1.000,1.000,0.916,1.091,0.9882,1.0227,0.9709,1.0409,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA+ CD8dim T cell Absolute Count,GCST90001666,54,30.73,0.394,0.646,1.000,1.000,0.900,1.111,0.9984,1.0060,0.9945,1.0100,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA+ CD8dim T cell Absolute Count,GCST90001666,54,30.73,0.394,0.963,1.000,1.000,0.923,1.083,0.9974,1.0034,0.9943,1.0066,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA- CD8dim T cell %T cell,GCST90001667,28,20.38,0.207,0.332,0.997,1.000,0.878,1.138,0.9890,1.0198,0.9735,1.0361,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA- CD8dim T cell %T cell,GCST90001667,28,20.38,0.207,0.764,1.000,1.000,0.907,1.103,0.9953,1.0164,0.9846,1.0275,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA- CD8dim T cell %CD8dim T cell,GCST90001668,28,22.22,0.202,0.391,0.999,1.000,0.883,1.132,0.9917,1.0531,0.9615,1.0862,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA- CD8dim T cell %CD8dim T cell,GCST90001668,28,22.22,0.202,0.823,1.000,1.000,0.911,1.098,0.9909,1.0401,0.9664,1.0664,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA- CD8dim T cell Absolute Count,GCST90001669,37,22.11,0.268,0.387,0.999,1.000,0.883,1.132,1.0009,1.0158,0.9933,1.0235,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA- CD8dim T cell Absolute Count,GCST90001669,37,22.11,0.268,0.820,1.000,1.000,0.910,1.098,0.9994,1.0104,0.9937,1.0162,yes,yes,yes,yes,""
AVBLOCK,CD39+ CD8+ T cell %T cell,GCST90001670,20,34.42,0.306,0.735,1.000,1.000,0.905,1.105,0.9638,1.0686,0.9139,1.1269,yes,yes,yes,no,""
CONDUCTIO,CD39+ CD8+ T cell %T cell,GCST90001670,20,34.42,0.306,0.983,1.000,1.000,0.928,1.078,0.9726,1.0507,0.9346,1.0934,yes,yes,yes,yes,""
AVBLOCK,CD39+ CD8+ T cell %CD8+ T cell,GCST90001671,21,35.06,0.311,0.749,1.000,1.000,0.906,1.104,0.9441,1.0166,0.9088,1.0562,yes,yes,yes,no,""
CONDUCTIO,CD39+ CD8+ T cell %CD8+ T cell,GCST90001671,21,35.06,0.311,0.986,1.000,1.000,0.928,1.077,0.9621,1.0170,0.9349,1.0465,yes,yes,yes,yes,""
AVBLOCK,CD39+ CD8+ T cell Absolute Count,GCST90001672,24,38.67,0.338,0.817,1.000,1.000,0.910,1.099,0.9638,1.0418,0.9259,1.0845,yes,yes,yes,yes,""
CONDUCTIO,CD39+ CD8+ T cell Absolute Count,GCST90001672,24,38.67,0.338,0.994,1.000,1.000,0.931,1.074,0.9590,1.0203,0.9288,1.0534,yes,yes,yes,yes,""
AVBLOCK,CD28- CD127- CD25++ CD8+ T cell %T cell,GCST90001673,18,13.10,0.125,0.128,0.928,1.000,0.851,1.175,0.9603,1.0499,0.9171,1.0993,yes,yes,yes,yes,""
CONDUCTIO,CD28- CD127- CD25++ CD8+ T cell %T cell,GCST90001673,18,13.10,0.125,0.416,0.999,1.000,0.885,1.130,0.9568,1.0295,0.9212,1.0692,yes,yes,yes,yes,""
AVBLOCK,CD28- CD127- CD25++ CD8+ T cell %CD8+ T cell,GCST90001674,18,13.10,0.124,0.128,0.928,1.000,0.851,1.175,0.9601,1.0333,0.9244,1.0732,yes,yes,yes,yes,""
CONDUCTIO,CD28- CD127- CD25++ CD8+ T cell %CD8+ T cell,GCST90001674,18,13.10,0.124,0.416,0.999,1.000,0.885,1.130,0.9554,1.0145,0.9263,1.0464,yes,yes,yes,yes,""
AVBLOCK,CD28- CD127- CD25++ CD8+ T cell Absolute Count,GCST90001675,29,20.81,0.201,0.346,0.998,1.000,0.880,1.137,0.9559,1.0121,0.9281,1.0424,yes,yes,yes,yes,""
CONDUCTIO,CD28- CD127- CD25++ CD8+ T cell Absolute Count,GCST90001675,29,20.81,0.201,0.779,1.000,1.000,0.908,1.102,0.9675,1.0099,0.9463,1.0325,yes,yes,yes,yes,""
AVBLOCK,CD28- CD25++ CD8+ T cell %T cell,GCST90001676,8,5.27,0.057,0.015,0.298,0.838,0.775,1.290,0.9833,1.2044,0.8856,1.3372,no,no,no,no,""
CONDUCTIO,CD28- CD25++ CD8+ T cell %T cell,GCST90001676,8,5.27,0.057,0.056,0.723,0.995,0.825,1.212,0.9567,1.1137,0.8846,1.2045,yes,no,no,no,""
AVBLOCK,CD28- CD25++ CD8+ T cell %CD8+ T cell,GCST90001677,25,16.12,0.172,0.204,0.980,1.000,0.864,1.157,0.9682,1.0971,0.9078,1.1701,yes,yes,yes,no,""
CONDUCTIO,CD28- CD25++ CD8+ T cell %CD8+ T cell,GCST90001677,25,16.12,0.172,0.579,1.000,1.000,0.896,1.116,0.9746,1.0563,0.9350,1.1011,yes,yes,yes,no,""
AVBLOCK,CD28- CD25++ CD8+ T cell Absolute Count,GCST90001678,25,16.03,0.177,0.202,0.979,1.000,0.864,1.157,0.9434,1.0165,0.9078,1.0564,yes,yes,yes,no,""
CONDUCTIO,CD28- CD25++ CD8+ T cell Absolute Count,GCST90001678,25,16.03,0.177,0.575,1.000,1.000,0.896,1.117,0.9562,1.0111,0.9291,1.0406,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD8+ T cell %T cell,GCST90001679,17,13.04,0.121,0.126,0.926,1.000,0.850,1.176,0.9428,1.0744,0.8814,1.1493,yes,yes,yes,no,""
CONDUCTIO,CD25++ CD8+ T cell %T cell,GCST90001679,17,13.04,0.121,0.413,0.999,1.000,0.885,1.130,0.9630,1.0733,0.9106,1.1350,yes,yes,yes,no,""
AVBLOCK,CD25++ CD8+ T cell %CD8+ T cell,GCST90001680,22,17.06,0.159,0.231,0.987,1.000,0.868,1.152,0.9366,1.0392,0.8877,1.0964,yes,yes,yes,no,""
CONDUCTIO,CD25++ CD8+ T cell %CD8+ T cell,GCST90001680,22,17.06,0.159,0.625,1.000,1.000,0.899,1.113,0.9483,1.0252,0.9110,1.0672,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD8+ T cell Absolute Count,GCST90001681,27,21.73,0.201,0.375,0.999,1.000,0.882,1.134,0.9343,1.0216,0.8922,1.0698,yes,yes,yes,no,""
CONDUCTIO,CD25++ CD8+ T cell Absolute Count,GCST90001681,27,21.73,0.201,0.809,1.000,1.000,0.910,1.099,0.9702,1.0372,0.9373,1.0735,yes,yes,yes,yes,""
AVBLOCK,CD127- CD8+ T cell %T cell,GCST90001682,14,10.17,0.091,0.070,0.792,0.998,0.832,1.201,0.9606,1.1541,0.8739,1.2687,yes,no,no,no,""
CONDUCTIO,CD127- CD8+ T cell %T cell,GCST90001682,14,10.17,0.091,0.254,0.991,1.000,0.871,1.148,0.9772,1.0899,0.9236,1.1531,yes,yes,yes,no,""
AVBLOCK,CD127- CD8+ T cell %CD8+ T cell,GCST90001683,14,8.85,0.091,0.050,0.688,0.993,0.821,1.217,0.9219,1.0089,0.8801,1.0569,yes,yes,yes,no,""
CONDUCTIO,CD127- CD8+ T cell %CD8+ T cell,GCST90001683,14,8.85,0.091,0.188,0.974,1.000,0.862,1.160,0.9453,1.0146,0.9115,1.0523,yes,yes,yes,yes,""
AVBLOCK,CD127- CD8+ T cell Absolute Count,GCST90001684,13,10.24,0.087,0.071,0.796,0.998,0.833,1.201,0.9501,1.0834,0.8880,1.1592,yes,yes,yes,no,""
CONDUCTIO,CD127- CD8+ T cell Absolute Count,GCST90001684,13,10.24,0.087,0.258,0.992,1.000,0.871,1.148,0.9603,1.0538,0.9154,1.1055,yes,yes,yes,no,""
AVBLOCK,CD28- CD8+ T cell %T cell,GCST90001685,16,11.42,0.105,0.092,0.864,1.000,0.841,1.189,0.8458,0.9872,0.7810,1.0691,yes,no,no,no,""
CONDUCTIO,CD28- CD8+ T cell %T cell,GCST90001685,16,11.42,0.105,0.322,0.997,1.000,0.878,1.140,0.9238,1.0377,0.8701,1.1019,yes,yes,yes,no,""
AVBLOCK,CD28- CD8+ T cell %CD8+ T cell,GCST90001686,23,14.32,0.156,0.157,0.956,1.000,0.857,1.167,0.9256,1.0432,0.8702,1.1096,yes,yes,yes,no,""
CONDUCTIO,CD28- CD8+ T cell %CD8+ T cell,GCST90001686,23,14.32,0.156,0.484,1.000,1.000,0.890,1.124,0.9458,1.0344,0.9031,1.0832,yes,yes,yes,no,""
AVBLOCK,CD28- CD8+ T cell Absolute Count,GCST90001687,14,12.66,0.105,0.118,0.914,1.000,0.848,1.179,0.9497,1.1370,0.8654,1.2477,yes,no,no,no,""
CONDUCTIO,CD28- CD8+ T cell Absolute Count,GCST90001687,14,12.66,0.105,0.391,0.999,1.000,0.883,1.132,0.9778,1.1243,0.9098,1.2082,yes,no,no,no,""
AVBLOCK,CD28+ CD45RA+ CD8+ T cell %T cell,GCST90001688,110,32.12,0.867,0.681,1.000,1.000,0.902,1.109,0.9974,1.0019,0.9950,1.0043,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA+ CD8+ T cell %T cell,GCST90001688,110,32.12,0.867,0.973,1.000,1.000,0.925,1.081,0.9985,1.0018,0.9967,1.0035,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,GCST90001689,41,13.50,0.266,0.137,0.938,1.000,0.853,1.173,0.9969,1.0084,0.9910,1.0144,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,GCST90001689,41,13.50,0.266,0.439,1.000,1.000,0.887,1.128,0.9963,1.0056,0.9915,1.0104,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA+ CD8+ T cell Absolute Count,GCST90001690,59,17.02,0.378,0.230,0.987,1.000,0.868,1.152,0.9974,1.0080,0.9919,1.0136,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA+ CD8+ T cell Absolute Count,GCST90001690,59,17.02,0.378,0.623,1.000,1.000,0.899,1.113,0.9976,1.0055,0.9935,1.0097,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA- CD8+ T cell %T cell,GCST90001691,26,22.54,0.193,0.401,0.999,1.000,0.884,1.131,0.9803,1.0136,0.9635,1.0312,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA- CD8+ T cell %T cell,GCST90001691,26,22.54,0.193,0.832,1.000,1.000,0.911,1.097,0.9918,1.0193,0.9779,1.0338,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA- CD8+ T cell %CD8+ T cell,GCST90001692,28,24.64,0.207,0.468,1.000,1.000,0.889,1.125,0.9898,1.0045,0.9824,1.0121,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA- CD8+ T cell %CD8+ T cell,GCST90001692,28,24.64,0.207,0.883,1.000,1.000,0.915,1.093,0.9926,1.0036,0.9870,1.0093,yes,yes,yes,yes,""
AVBLOCK,CD28+ CD45RA- CD8+ T cell Absolute Count,GCST90001693,29,25.93,0.215,0.508,1.000,1.000,0.891,1.122,0.9812,1.0139,0.9647,1.0312,yes,yes,yes,yes,""
CONDUCTIO,CD28+ CD45RA- CD8+ T cell Absolute Count,GCST90001693,29,25.93,0.215,0.907,1.000,1.000,0.917,1.091,0.9912,1.0159,0.9787,1.0289,yes,yes,yes,yes,""
AVBLOCK,CD28- CD4-CD8- T cell %T cell,GCST90001694,22,17.75,0.153,0.251,0.991,1.000,0.870,1.149,0.9852,1.0775,0.9408,1.1284,yes,yes,yes,no,""
CONDUCTIO,CD28- CD4-CD8- T cell %T cell,GCST90001694,22,17.75,0.153,0.658,1.000,1.000,0.901,1.110,0.9826,1.0578,0.9459,1.0988,yes,yes,yes,yes,""
AVBLOCK,CD45RA- CD28- CD8+ T cell Absolute Count,GCST90001695,350,3630676.40,3.161,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,1.0000,1.0000,1.0000,1.0000,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries); sum(F)/n > 1
CONDUCTIO,CD45RA- CD28- CD8+ T cell Absolute Count,GCST90001695,350,3630676.40,3.161,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,1.0000,1.0000,1.0000,1.0000,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries); sum(F)/n > 1
AVBLOCK,CD45RA- CD28- CD8+ T cell %CD8+ T cell,GCST90001696,50,6169.11,0.388,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,0.9991,1.0005,0.9983,1.0013,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries)
CONDUCTIO,CD45RA- CD28- CD8+ T cell %CD8+ T cell,GCST90001696,50,6169.11,0.388,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,0.9988,0.9999,0.9982,1.0004,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries)
AVBLOCK,CD45RA- CD28- CD8+ T cell %T cell,GCST90001697,180,3728.00,1.442,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,0.9996,1.0006,0.9990,1.0011,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries); sum(F)/n > 1
CONDUCTIO,CD45RA- CD28- CD8+ T cell %T cell,GCST90001697,180,3728.00,1.442,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,0.9997,1.0005,0.9994,1.0008,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries); sum(F)/n > 1
AVBLOCK,CD45RA+ CD28- CD8+ T cell Absolute Count,GCST90001698,719,20764217.40,10.313,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,1.0000,1.0000,1.0000,1.0000,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries); sum(F)/n > 1
CONDUCTIO,CD45RA+ CD28- CD8+ T cell Absolute Count,GCST90001698,719,20764217.40,10.313,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,1.0000,1.0000,1.0000,1.0000,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries); sum(F)/n > 1
AVBLOCK,CD45RA+ CD28- CD8+ T cell %CD8+ T cell,GCST90001699,31,4172.60,0.210,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,0.9990,1.0003,0.9984,1.0009,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries)
CONDUCTIO,CD45RA+ CD28- CD8+ T cell %CD8+ T cell,GCST90001699,31,4172.60,0.210,not interpretable,not interpretable,not interpretable,not interpretable,not interpretable,0.9993,1.0002,0.9988,1.0007,yes,yes,yes,yes,aggregate R2 > 1 (excluded from power summaries)
